participant;percentage;fov;trial;brightness;startime;runtime;total_average;window_average;window_variance;subwindow1_average;subwindow2_average;subwindow3_average;subwindow4_average;subwindow5_average;;
Marion;30;0;1;1;9.4;903.9;4.42806;3.968419;0.5996296;3.770717;3.737053;4.071655;3.922376;4.336683;;
Marion;30;15;1;1;925.94;91.03998;3.343277;3.289079;0.1901891;3.392913;3.202724;3.294421;3.313749;3.241073;;
Marion;30;25;1;0.6;1028.76;110.64;3.247938;3.199719;0.2268786;3.315891;3.206475;3.089012;3.178359;3.209735;;
Marion;30;35;1;0.5;1157.62;117.96;3.220287;3.09157;0.1353042;3.178889;3.099209;3.087529;3.047688;3.043584;;
Marion;30;45;1;0.4;1285.1;165.88;3.21189;3.040041;0.04931498;3.043058;3.017884;3.067199;3.020016;3.052306;;
Marion;30;110;1;0.3;1466.6;93.64001;3.197685;3.266283;0.2648363;3.13368;3.398516;3.313936;3.224066;3.25537;;
;;;;;;;;;;;;;;;;
