participant;percentage;fov;trial;brightness;startime;runtime;total_average;window_average;window_variance;subwindow1_average;subwindow2_average;subwindow3_average;subwindow4_average;subwindow5_average;;
Marion;30;0;1;1;37.24;905.78;4.517615;4.596703;0.2730689;4.576698;4.528515;4.533984;4.801584;4.543339;;
Marion;30;15;1;1;952;156.24;3.755888;3.668403;0.3241522;3.554191;3.878343;3.736093;3.562747;3.608386;;
Marion;30;25;1;0.6;1119.68;107.42;3.93506;3.903815;0.1960657;3.799405;3.995471;3.935981;3.860551;3.928324;;
Marion;30;35;1;0.5;1247.06;83.78003;3.663725;3.662745;0.2750206;3.80926;3.621478;3.534239;3.629378;3.726684;;
Marion;30;45;1;0.4;1343.48;425.08;3.883941;3.817425;0.1581969;3.88345;3.776842;3.906639;3.775537;3.748442;;
Marion;30;110;1;0.3;1791.94;81.54004;3.707997;3.744874;0.2460823;3.65875;3.731937;3.737243;3.689515;3.904832;;
;;;;;;;;;;;;;;;;
